id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
79,2023-05-13T09:55:56.000+0000,TRUE,RJ,"Nada de ficar fazendo malabarismo com a massa, hein"
80,2023-05-13T10:03:10.000+0000,FALSE,SP,Sorteia uns cursos pra nós
81,2023-05-13T10:38:55.000+0000,TRUE,CE,null
82,2023-05-13T11:30:18.000+0000,FALSE,SP,null
83,2023-05-13T11:36:15.000+0000,FALSE,RJ,Favor cortar em formato de pentagrama invertido.
84,2023-05-13T11:40:12.000+0000,FALSE,DF,null
85,2023-05-13T11:48:06.000+0000,TRUE,GO,null
86,2023-05-13T11:49:24.000+0000,TRUE,SP,Vai ser demais esse intensivo
87,2023-05-13T11:56:10.000+0000,FALSE,SP,null
88,2023-05-13T12:16:02.000+0000,TRUE,RJ,null
89,2023-05-13T12:23:30.000+0000,FALSE,RJ,null
90,2023-05-13T12:34:32.000+0000,TRUE,CE,null
91,2023-05-13T12:57:01.000+0000,FALSE,SP,null
92,2023-05-13T14:03:41.000+0000,FALSE,PE,null
93,2023-05-13T14:09:47.000+0000,FALSE,SP,null
94,2023-05-13T14:27:23.000+0000,TRUE,RN,"Essas iniciativas ajudam bastante quem tá na correria do dia-a-dia para tentar da uma vida melhor para a família e tem que enfrentar os obstáculos da vida, parabéns pela iniciativa, muito obrigado pela oportunidade!"
95,2023-05-13T14:35:59.000+0000,FALSE,MT,"Gosto da minha pizza com massa fina e crocante e os ingredientes da cobertura não podem ser em excesso, onde o sabor de um se sobressai ao outro."
96,2023-05-13T15:01:23.000+0000,TRUE,PI,null
97,2023-05-13T15:20:52.000+0000,FALSE,CE,null
98,2023-05-13T15:41:12.000+0000,FALSE,MG,Sem cebola
99,2023-05-13T16:29:04.000+0000,FALSE,PR,Só agradecer e dizer que o Téo é o Calvo mais cabeludo que eu já vi. rs
100,2023-05-13T16:46:30.000+0000,TRUE,SP,"Quero bacon em pedaços, não em fatias, obrigado!"
101,2023-05-13T16:58:50.000+0000,FALSE,SP,Arrasa !
102,2023-05-13T18:28:26.000+0000,TRUE,RJ,null
103,2023-05-13T18:34:30.000+0000,FALSE,GO,"Me contrata, nunca pedi nada!"
104,2023-05-13T19:43:50.000+0000,FALSE,SP,null
105,2023-05-13T20:12:30.000+0000,FALSE,CE,null
106,2023-05-13T20:34:14.000+0000,TRUE,GO,null
107,2023-05-13T21:08:51.000+0000,FALSE,PR,null
108,2023-05-13T21:58:49.000+0000,TRUE,RS,null
109,2023-05-13T22:14:21.000+0000,FALSE,CE,Faltou o refrigerante zero
110,2023-05-13T22:58:13.000+0000,TRUE,ES,null
